op_name, stream_id, start_time(ms), duration(ms)
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614299.84517,0.0012
Default/AtomicAddrClean-op30,4,3189614299.84648,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614299.84778,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614299.84905,0.00123
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614299.8504,0.00117
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614301.56461,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614301.56912,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614301.57042,0.00109
Default/AtomicAddrClean-op28,4,3189614301.57162,0.00115
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614301.57288,0.00106
Default/Mul-op7,4,3189614301.57406,0.00115
Default/AtomicAddrClean-op29,4,3189614301.57532,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614301.57662,0.00121
Default/AtomicAddrClean-op30,4,3189614301.57794,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614301.57923,0.00119
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614301.58053,0.00118
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614301.58183,0.00117
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614303.43125,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614303.43576,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614303.43706,0.00109
Default/AtomicAddrClean-op28,4,3189614303.43826,0.00115
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614303.43952,0.00111
Default/Mul-op7,4,3189614303.44074,0.0011
Default/AtomicAddrClean-op29,4,3189614303.44196,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614303.44326,0.00119
Default/AtomicAddrClean-op30,4,3189614303.44457,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614303.44586,0.00117
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614303.44714,0.0012
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614303.44845,0.00119
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614305.12354,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614305.12804,0.00116
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614305.12931,0.00109
Default/AtomicAddrClean-op28,4,3189614305.13051,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614305.13176,0.00107
Default/Mul-op7,4,3189614305.13294,0.00116
Default/AtomicAddrClean-op29,4,3189614305.13421,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614305.13551,0.00118
Default/AtomicAddrClean-op30,4,3189614305.1368,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614305.1381,0.00119
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614305.1394,0.00123
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614305.14074,0.00122
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614306.83083,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614306.83533,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614306.83663,0.00109
Default/AtomicAddrClean-op28,4,3189614306.83784,0.00118
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614306.83914,0.0011
Default/Mul-op7,4,3189614306.84035,0.00115
Default/AtomicAddrClean-op29,4,3189614306.84162,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614306.84292,0.0012
Default/AtomicAddrClean-op30,4,3189614306.84423,0.00121
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614306.84555,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614306.84682,0.00123
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614306.84816,0.00122
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614308.56402,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614308.56877,0.00116
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614308.57031,0.00108
Default/AtomicAddrClean-op28,4,3189614308.57174,0.00115
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614308.57327,0.00107
Default/Mul-op7,4,3189614308.5747,0.0011
Default/AtomicAddrClean-op29,4,3189614308.57591,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614308.57745,0.0012
Default/AtomicAddrClean-op30,4,3189614308.57876,0.00125
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614308.58013,0.00118
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614308.58143,0.00122
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614308.58276,0.00118
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614310.37783,0.00438
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614310.38233,0.00115
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614310.3836,0.00107
Default/AtomicAddrClean-op28,4,3189614310.38479,0.0011
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614310.386,0.00107
Default/Mul-op7,4,3189614310.38718,0.0011
Default/AtomicAddrClean-op29,4,3189614310.38839,0.00121
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614310.38971,0.00118
Default/AtomicAddrClean-op30,4,3189614310.391,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614310.3923,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614310.39358,0.00118
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614310.39487,0.00133
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614312.09385,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614312.09836,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614312.09966,0.00109
Default/AtomicAddrClean-op28,4,3189614312.10086,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614312.10216,0.00107
Default/Mul-op7,4,3189614312.10334,0.00116
Default/AtomicAddrClean-op29,4,3189614312.10461,0.0012
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614312.10592,0.00121
Default/AtomicAddrClean-op30,4,3189614312.10724,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614312.10854,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614312.10981,0.00119
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614312.11111,0.00118
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614313.79496,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614313.79946,0.00116
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614313.80073,0.00108
Default/AtomicAddrClean-op28,4,3189614313.80193,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614313.80318,0.00107
Default/Mul-op7,4,3189614313.80436,0.0011
Default/AtomicAddrClean-op29,4,3189614313.80558,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614313.80687,0.00119
Default/AtomicAddrClean-op30,4,3189614313.80817,0.00121
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614313.80949,0.00127
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614313.81088,0.00122
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614313.81221,0.00123
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614315.79654,0.00439
